update,total_loss,policy_loss,value_loss,entropy
910,-0.0028,0.0,0.0139,0.9762
911,-0.0046,-0.0002,0.0106,0.9745
912,-0.0077,-0.0006,0.0052,0.976
913,-0.005,-0.0001,0.0098,0.9784
914,-0.0076,-0.0004,0.0057,0.9997
915,-0.0075,0.0,0.0049,1.0009
916,-0.0011,0.0007,0.0164,0.9918
917,-0.0056,-0.0007,0.01,0.9835
918,-0.0069,0.0,0.0058,0.9768
919,-0.0064,0.0002,0.0065,0.9851
920,-0.0067,-0.0001,0.0065,0.984
921,-0.0044,-0.0001,0.0111,0.9851
922,-0.005,0.0005,0.0086,0.9857
923,-0.006,0.0013,0.0049,0.9815
924,-0.0075,0.0002,0.0043,0.9844
925,-0.005,-0.0003,0.0106,1.0001
926,-0.0084,-0.0001,0.0033,0.995
927,-0.0066,0.0005,0.0055,0.9837
928,-0.0068,0.0007,0.0046,0.9775
929,-0.0067,-0.0001,0.0063,0.9749
930,-0.001,0.0004,0.0168,0.9804
931,-0.0012,0.0001,0.0167,0.9736
932,-0.0068,0.0002,0.0054,0.9751
933,-0.0006,0.0002,0.0179,0.9697
934,-0.0042,-0.0004,0.0118,0.9724
935,-0.0073,0.0005,0.0037,0.9672
936,-0.0065,-0.0009,0.0085,0.9829
937,-0.0085,-0.0001,0.0027,0.9759
938,-0.0022,-0.0002,0.0154,0.9732
939,-0.0045,0.0001,0.0101,0.9648
940,-0.0075,-0.0001,0.0045,0.9564
941,-0.0075,0.0001,0.0041,0.959
942,-0.0009,-0.0006,0.0186,0.9553
943,-0.0021,-0.0008,0.0167,0.9584
944,0.0031,0.0006,0.0241,0.955
945,-0.0047,-0.0005,0.0107,0.9582
946,-0.0079,0.0001,0.0029,0.9502
947,-0.0078,-0.0001,0.0038,0.9672
948,-0.0077,-0.0001,0.0039,0.9594
949,-0.0069,0.0002,0.005,0.9559
950,-0.0068,0.0011,0.0034,0.9532
951,0.0243,-0.0003,0.0682,0.9559
952,0.021,0.0003,0.0608,0.9666
953,0.0005,0.0003,0.0196,0.9573
954,-0.0077,-0.0001,0.0038,0.9485
955,-0.0076,0.0002,0.0035,0.9518
956,-0.0071,-0.0004,0.0059,0.9661
957,0.0268,0.0002,0.0733,1.0089
958,-0.0034,0.0001,0.0125,0.9677
959,-0.009,-0.0005,0.0022,0.9618
960,-0.0057,-0.0002,0.0081,0.9551
961,0.0003,0.0004,0.0188,0.9491
962,-0.0049,-0.0002,0.0097,0.9532
963,-0.0067,0.0005,0.0047,0.9566
964,-0.008,0.0001,0.0029,0.9568
965,-0.0058,-0.0005,0.0085,0.9542
966,-0.0082,-0.0006,0.0039,0.9534
967,-0.0084,0.0001,0.0021,0.9518
968,-0.0052,-0.0007,0.0099,0.9495
969,-0.0088,-0.0008,0.0033,0.9704
970,-0.0073,0.001,0.0027,0.9682
971,-0.001,0.0008,0.0157,0.9642
972,-0.0062,0.0003,0.0062,0.9626
973,-0.0036,0.0,0.0118,0.9574
974,0.0016,0.0001,0.0223,0.9663
975,0.0194,-0.0005,0.059,0.9572
976,0.0243,0.0007,0.0666,0.9642
977,-0.0005,-0.0003,0.0187,0.9578
978,-0.0045,-0.0003,0.0107,0.9542
979,-0.008,-0.0003,0.0034,0.9481
980,-0.0061,0.0005,0.0063,0.9695
981,-0.0015,-0.0004,0.0171,0.9624
982,-0.0052,0.0004,0.0079,0.9554
983,0.0068,0.0001,0.0327,0.9598
984,0.0243,0.0005,0.0669,0.9624
985,0.014,0.0001,0.047,0.9631
986,0.0099,0.0004,0.038,0.9527
987,-0.0026,0.0004,0.013,0.9515
988,-0.0055,-0.0001,0.0079,0.9408
989,-0.0073,-0.0007,0.0057,0.9385
990,0.0018,-0.0002,0.0226,0.9323
991,-0.0059,-0.0001,0.0074,0.9572
992,-0.0077,0.0001,0.0034,0.9512
993,0.0004,0.0007,0.0183,0.9408
994,-0.0029,0.0,0.0128,0.9381
995,-0.0049,0.0004,0.008,0.9322
996,-0.0069,-0.0002,0.0055,0.9417
997,-0.0062,0.0003,0.0055,0.9335
998,-0.0035,0.0002,0.0115,0.9362
999,-0.0048,0.0001,0.0088,0.9332
1000,-0.0075,-0.0013,0.0063,0.9346
1001,-0.0077,-0.0006,0.0045,0.9354
1002,-0.0047,0.0003,0.009,0.9516
1003,-0.0081,-0.0002,0.0032,0.9482
1004,-0.0035,0.0003,0.0112,0.9428
1005,-0.0077,-0.0013,0.0059,0.9387
1006,-0.0047,-0.0002,0.0096,0.9319
1007,-0.0042,0.0006,0.0092,0.9366
1008,0.0077,0.0003,0.0336,0.9421
1009,0.017,0.0001,0.0526,0.9488
1010,0.0124,-0.0001,0.044,0.9489
1011,-0.0021,0.0002,0.0141,0.9382
1012,-0.0027,-0.0001,0.0134,0.9328
1013,-0.004,-0.0004,0.0118,0.9509
1014,-0.0083,-0.0004,0.0031,0.9472
1015,-0.0085,-0.0006,0.003,0.9418
1016,-0.0066,0.0006,0.0041,0.9305
1017,-0.0055,0.0006,0.0064,0.9255
1018,-0.0071,-0.0006,0.0057,0.9274
1019,-0.0062,0.0006,0.0049,0.9269
1020,-0.0077,-0.0006,0.0044,0.9285
1021,-0.0039,-0.0001,0.0108,0.9277
1022,-0.0069,-0.0005,0.0057,0.9294
1023,0.0083,0.0002,0.0348,0.9306
1024,-0.007,0.0001,0.0048,0.9497
1025,-0.0081,0.0001,0.0024,0.9441
1026,-0.0033,-0.0001,0.0124,0.9402
1027,-0.0071,-0.0,0.0045,0.9332
1028,0.0007,-0.0,0.02,0.9246
1029,-0.0008,0.0002,0.0165,0.925
1030,0.0051,0.0003,0.028,0.9276
