update,total_loss,policy_loss,value_loss,entropy
215,-0.0143,-0.006,0.0107,1.3629
216,-0.013,-0.0027,0.0067,1.3628
217,-0.0125,-0.0062,0.0147,1.3628
218,-0.0011,0.0073,0.0105,1.3628
219,-0.0152,-0.0049,0.0067,1.3628
220,-0.0004,0.012,0.0025,1.3638
221,-0.0123,-0.0064,0.0155,1.361
222,-0.0142,-0.0026,0.004,1.3595
223,-0.005,0.0026,0.012,1.3608
224,0.0012,-0.0005,0.0308,1.361
225,-0.0137,-0.0055,0.0106,1.3609
226,-0.0147,-0.0041,0.0061,1.3605
227,0.0078,0.0057,0.0314,1.3614
228,-0.0024,0.0024,0.0177,1.3607
229,-0.0052,0.0005,0.0158,1.361
230,-0.0105,0.0009,0.0045,1.3612
231,-0.0079,-0.0006,0.0125,1.3621
232,-0.0162,-0.0059,0.0065,1.3608
233,0.014,0.0016,0.0522,1.3636
234,0.0191,-0.0011,0.0676,1.3651
235,0.0193,0.0014,0.0633,1.3651
236,0.0013,-0.0001,0.0302,1.3637
237,-0.0123,-0.0027,0.0082,1.3635
238,-0.0154,-0.0054,0.0073,1.3633
239,-0.0145,-0.0061,0.0105,1.3636
240,-0.0141,-0.0019,0.0028,1.3634
241,-0.0104,-0.0036,0.0138,1.3633
242,-0.0111,-0.0052,0.0155,1.3618
243,-0.0085,-0.0034,0.017,1.3624
244,-0.0105,-0.0026,0.0115,1.3631
245,-0.0107,-0.0018,0.0095,1.3652
246,-0.0108,-0.0003,0.0061,1.3646
247,-0.0143,-0.0028,0.0043,1.3638
248,-0.007,-0.0004,0.014,1.3631
249,-0.0164,-0.0049,0.0044,1.3634
250,-0.0182,-0.0063,0.0036,1.3642
251,-0.0149,-0.0037,0.0049,1.3623
252,-0.0118,-0.0048,0.0132,1.3608
253,-0.0117,-0.0057,0.0151,1.3606
254,-0.0142,-0.0037,0.0062,1.361
255,-0.0102,0.0008,0.0052,1.3607
256,-0.015,-0.0056,0.0084,1.3601
257,-0.0051,0.0007,0.0155,1.3604
258,-0.0139,-0.003,0.0054,1.3604
259,-0.0128,-0.0047,0.0111,1.3608
260,-0.0034,0.0091,0.0021,1.3615
261,-0.0138,-0.0032,0.0059,1.3588
262,-0.0141,-0.0028,0.0045,1.3564
263,-0.0111,-0.0018,0.0085,1.3575
264,-0.0193,-0.0086,0.0058,1.3582
265,-0.0067,-0.0046,0.0231,1.3591
266,-0.0109,-0.004,0.0133,1.3571
267,-0.0071,-0.0015,0.016,1.3582
268,-0.0081,0.0003,0.0105,1.3581
269,-0.0075,0.0026,0.0069,1.3571
270,-0.0177,-0.0051,0.002,1.3569
271,-0.0108,-0.0073,0.02,1.3553
272,-0.016,-0.0049,0.0049,1.3528
273,0.0058,-0.0015,0.0418,1.3526
274,-0.0113,-0.0074,0.0193,1.3529
275,-0.0109,-0.0019,0.0092,1.3571
276,-0.0175,-0.0059,0.0039,1.3558
277,-0.0169,-0.0063,0.0059,1.3544
278,-0.0162,-0.0056,0.0059,1.3531
279,-0.0158,-0.0056,0.0068,1.3541
280,-0.0155,-0.0038,0.0036,1.3539
281,-0.0061,-0.0008,0.0164,1.3506
282,-0.019,-0.0073,0.0035,1.349
283,-0.015,-0.0037,0.0044,1.3495
284,-0.0138,-0.0043,0.008,1.3501
285,-0.0109,-0.0063,0.0178,1.3529
286,-0.0113,-0.0051,0.0147,1.3513
287,-0.0085,0.0006,0.0088,1.3511
288,-0.0134,-0.0028,0.006,1.3501
289,-0.0152,-0.0039,0.0044,1.3494
290,-0.0205,-0.0083,0.0025,1.3499
291,-0.0101,-0.0033,0.0133,1.3466
292,-0.0175,-0.0061,0.004,1.3435
293,-0.0105,-0.0058,0.0174,1.3433
294,-0.0116,-0.0029,0.0094,1.3439
295,-0.0092,-0.0024,0.0134,1.3462
296,-0.0105,0.0011,0.0037,1.3452
297,-0.0171,-0.0066,0.0058,1.3453
298,-0.0114,-0.0014,0.007,1.3431
299,-0.0146,-0.0023,0.0024,1.3425
300,-0.0275,-0.0154,0.0027,1.3436
301,-0.0123,-0.0022,0.0066,1.3411
302,-0.0108,-0.0001,0.0054,1.3389
303,-0.0133,-0.0041,0.0083,1.3405
304,-0.013,-0.0016,0.0039,1.3417
305,-0.013,-0.0056,0.0121,1.3418
306,-0.0146,-0.0109,0.0195,1.342
307,-0.0158,-0.0037,0.0025,1.3425
308,-0.0039,-0.0049,0.0289,1.3421
309,-0.0126,-0.0058,0.0132,1.3411
310,-0.0129,-0.0053,0.0117,1.3401
311,-0.0061,0.0016,0.0114,1.3389
312,-0.0144,-0.0033,0.0046,1.337
313,-0.0045,0.001,0.0158,1.3369
314,-0.0059,0.0019,0.011,1.3386
315,-0.0017,-0.0029,0.0292,1.3393
316,0.0103,-0.0024,0.0522,1.3369
317,-0.0098,-0.0031,0.0135,1.3396
318,-0.0082,-0.0032,0.0169,1.342
319,-0.0098,0.0008,0.0056,1.3413
320,-0.0099,0.0022,0.0025,1.3403
321,-0.0104,-0.0055,0.017,1.3409
322,-0.0109,-0.0012,0.0075,1.3393
323,-0.018,-0.0061,0.003,1.3415
324,-0.0115,-0.0002,0.0043,1.342
325,-0.0033,0.0027,0.0149,1.344
326,-0.0031,0.0009,0.0188,1.3448
327,-0.0175,-0.0078,0.0075,1.3446
328,-0.0135,-0.004,0.0078,1.3437
329,-0.0168,-0.0049,0.0031,1.3435
330,-0.0137,-0.0016,0.0026,1.3429
331,-0.0137,-0.0023,0.004,1.344
332,-0.0186,-0.007,0.0038,1.3436
333,-0.0013,-0.0001,0.0244,1.3431
334,-0.0109,-0.0071,0.0192,1.3442
335,-0.009,0.0002,0.0087,1.3478
336,-0.0074,-0.0027,0.0177,1.3472
337,0.0099,-0.0005,0.0478,1.348
338,-0.0066,0.0015,0.0109,1.3471
339,-0.0198,-0.0084,0.0042,1.3454
340,-0.0169,-0.0042,0.0014,1.3447
341,-0.0104,-0.0039,0.0138,1.3444
342,-0.0178,-0.007,0.0051,1.3419
343,-0.0108,-0.0027,0.0106,1.3432
344,-0.0133,-0.0022,0.0047,1.3424
345,-0.0103,-0.0006,0.0074,1.3425
346,-0.006,-0.0049,0.0245,1.3395
347,0.0017,0.0024,0.0254,1.3429
348,-0.0093,0.0003,0.0076,1.344
349,-0.0028,-0.002,0.0252,1.3426
350,-0.0175,-0.0057,0.0033,1.3433
351,-0.0142,-0.0037,0.006,1.3416
352,-0.0139,-0.0037,0.0065,1.3392
353,-0.0067,-0.0023,0.0181,1.3399
354,-0.0039,-0.0005,0.02,1.3381
355,0.0004,0.0025,0.0227,1.3411
356,-0.0114,-0.0015,0.0071,1.3411
357,-0.0069,-0.0061,0.0252,1.3419
358,0.0023,0.0012,0.0292,1.3426
359,0.002,-0.0027,0.0363,1.3438
360,-0.0106,-0.0029,0.0114,1.346
361,-0.0113,-0.0022,0.0086,1.3388
362,-0.0173,-0.0061,0.0044,1.3376
363,-0.0046,-0.0004,0.0185,1.3379
364,-0.0077,0.0007,0.0099,1.3394
365,-0.0023,0.0002,0.0219,1.3405
366,-0.009,-0.0002,0.0093,1.3397
367,-0.0146,-0.0046,0.0066,1.3393
368,-0.013,-0.0025,0.0058,1.3376
369,-0.008,-0.0016,0.014,1.3389
370,-0.0115,-0.0022,0.0081,1.3408
371,-0.0083,-0.0031,0.0164,1.3388
372,-0.0148,-0.0034,0.004,1.3372
373,-0.0144,-0.003,0.004,1.3391
374,-0.0096,0.0017,0.0043,1.3396
375,-0.0138,-0.002,0.0032,1.3408
376,-0.0119,-0.0006,0.004,1.3398
377,-0.0109,-0.0025,0.0102,1.3402
378,-0.0074,-0.002,0.016,1.3415
379,-0.0151,-0.0062,0.0089,1.341
380,-0.0146,-0.0023,0.0022,1.3427
381,-0.0117,-0.0025,0.0084,1.3403
382,-0.0148,-0.0033,0.0037,1.3392
383,-0.0131,-0.0023,0.0052,1.3404
384,-0.0088,-0.0016,0.0123,1.3403
385,-0.0101,0.0011,0.0043,1.3411
386,-0.01,0.0017,0.0035,1.341
387,-0.0024,-0.005,0.0321,1.3452
388,-0.0027,-0.0051,0.0318,1.3462
389,-0.0099,-0.0056,0.0181,1.3444
390,-0.0089,0.0041,0.001,1.344
391,-0.0147,-0.0051,0.0076,1.3408
392,-0.0118,-0.0006,0.0044,1.3394
393,-0.0104,-0.0014,0.0089,1.3407
394,-0.0087,-0.0011,0.0117,1.3419
395,-0.0115,-0.0049,0.0138,1.3436
396,-0.018,-0.0069,0.0047,1.3426
397,-0.0033,-0.0011,0.0225,1.3427
398,-0.0086,0.0001,0.0094,1.3409
399,-0.0172,-0.0086,0.0095,1.342
400,-0.021,-0.0091,0.003,1.3413
401,-0.0128,-0.0046,0.0105,1.3397
402,-0.0119,-0.0013,0.0055,1.3377
403,-0.0019,0.0005,0.0219,1.3394
404,0.0023,0.0036,0.0243,1.3408
405,-0.0106,-0.0063,0.0183,1.344
406,-0.001,0.0006,0.0238,1.3441
407,-0.0129,-0.007,0.0151,1.3432
408,-0.0135,-0.0057,0.0111,1.3419
409,-0.0136,-0.0048,0.0093,1.3431
410,-0.017,-0.0058,0.0044,1.3452
411,-0.0056,0.0014,0.0127,1.3383
412,-0.0142,-0.0035,0.0054,1.337
413,-0.0138,-0.0058,0.0107,1.3378
414,-0.0155,-0.006,0.0077,1.3383
415,-0.0136,-0.0076,0.0147,1.34
416,-0.0125,-0.0018,0.0054,1.3407
417,-0.0093,-0.0033,0.0149,1.3413
418,-0.0102,-0.0021,0.0106,1.3391
419,-0.016,-0.0047,0.0041,1.3384
420,-0.0115,0.001,0.0019,1.3376
421,-0.0094,0.0009,0.0061,1.3373
422,-0.0127,-0.0018,0.0049,1.3371
423,-0.0058,-0.0012,0.0175,1.337
424,-0.0079,0.0033,0.0046,1.3386
425,-0.0072,0.0027,0.0069,1.3395
426,-0.0035,0.0006,0.0185,1.3378
427,0.0203,0.0005,0.0664,1.3407
428,-0.0008,0.0014,0.0223,1.3415
429,-0.0047,-0.0004,0.0181,1.3408
430,-0.0048,0.0066,0.0041,1.3396
431,-0.0032,-0.0008,0.022,1.3432
432,-0.0149,-0.0037,0.0044,1.3427
433,-0.0138,-0.0028,0.0049,1.3442
434,-0.0125,-0.0038,0.0096,1.3447
435,-0.0031,-0.0008,0.0222,1.3462
436,-0.016,-0.0061,0.0072,1.3456
437,-0.0126,-0.0014,0.0046,1.3468
438,-0.0185,-0.0088,0.0075,1.3478
439,-0.0162,-0.0054,0.0053,1.3475
440,-0.0066,0.0055,0.0028,1.3481
441,-0.0171,-0.0063,0.0054,1.3464
442,-0.013,-0.0046,0.0101,1.3463
443,-0.0139,-0.0044,0.0081,1.3474
444,-0.0121,-0.0046,0.0121,1.3483
445,-0.0027,-0.0006,0.0227,1.3484
446,-0.0071,-0.0072,0.027,1.3475
447,-0.0097,-0.0025,0.0127,1.3479
448,-0.0164,-0.0055,0.0052,1.3476
449,-0.015,-0.0038,0.0045,1.3474
