update,total_loss,policy_loss,value_loss,entropy
1144,0.0003,-0.0005,0.0267,1.2601
1145,0.0139,-0.0006,0.0541,1.2566
1146,-0.0033,-0.0008,0.0203,1.2715
1147,0.0413,0.0007,0.1067,1.2764
1148,0.0085,-0.0009,0.0441,1.2681
1149,0.0019,0.001,0.027,1.2614
1150,-0.0092,-0.0017,0.01,1.2548
1151,0.0098,-0.0,0.0446,1.2531
1152,0.0233,0.0002,0.0715,1.2568
1153,0.0256,-0.0008,0.078,1.261
1154,0.0103,-0.0001,0.0463,1.2745
1155,0.017,-0.001,0.0614,1.277
1156,0.0087,0.0,0.0424,1.2571
1157,0.0137,0.0,0.0524,1.2569
1158,0.0094,0.0005,0.0429,1.257
1159,0.0367,0.0001,0.0984,1.2579
1160,0.0015,0.0021,0.0238,1.2566
1161,0.0106,-0.0001,0.0464,1.2539
1162,0.035,0.0002,0.0947,1.2564
1163,0.0497,-0.0009,0.1265,1.261
1164,0.0481,-0.0001,0.1219,1.2694
1165,0.044,-0.0005,0.1144,1.2716
1166,0.0195,0.0003,0.0636,1.2688
1167,0.0149,0.0006,0.054,1.2677
1168,0.0044,0.0005,0.0332,1.2669
1169,0.0657,0.0009,0.1553,1.2789
1170,-0.0022,-0.0003,0.0218,1.2777
1171,0.0231,-0.0002,0.0716,1.2535
1172,0.0389,0.0007,0.1015,1.2588
1173,0.0388,0.0006,0.1018,1.2647
1174,0.0184,0.0012,0.0598,1.2724
1175,0.0371,-0.0006,0.1008,1.2734
1176,0.0186,-0.0003,0.0633,1.2684
1177,0.0158,0.0002,0.0563,1.259
1178,0.0289,-0.0009,0.0848,1.2591
1179,0.0244,-0.0005,0.0749,1.2585
1180,-0.0046,0.0002,0.0156,1.2559
1181,0.0235,-0.0003,0.0726,1.2518
1182,0.0208,0.0009,0.0649,1.2541
1183,0.0544,0.0005,0.1329,1.2535
1184,0.0696,-0.0003,0.1649,1.2612
1185,0.0232,0.0003,0.0711,1.2708
1186,0.0013,-0.0022,0.0324,1.2706
1187,0.033,-0.0008,0.0929,1.2671
1188,0.0117,-0.001,0.0506,1.2638
1189,0.0313,0.001,0.0858,1.2607
1190,0.0027,0.0005,0.0294,1.2543
1191,0.0191,-0.0002,0.0637,1.2525
1192,0.044,0.0001,0.113,1.2571
1193,0.0245,-0.0006,0.0755,1.2626
1194,0.0174,0.002,0.0564,1.2781
1195,0.0514,0.0002,0.128,1.2789
1196,0.0253,-0.0002,0.0762,1.2646
1197,0.0067,0.0001,0.0384,1.2569
1198,0.0023,0.0004,0.029,1.2579
1199,0.0675,0.0,0.1601,1.2576
1200,-0.0041,0.0025,0.012,1.2626
1201,0.0151,0.0005,0.0542,1.2516
1202,0.0214,0.0006,0.0668,1.2527
1203,0.0197,-0.0005,0.0654,1.2529
1204,0.0094,0.0001,0.0437,1.2545
1205,0.0094,0.0,0.0437,1.2522
1206,0.0101,-0.0007,0.0469,1.2602
1207,0.0151,0.0004,0.0545,1.2552
1208,0.0046,0.0004,0.0336,1.256
1209,0.0243,0.0018,0.0701,1.2583
1210,-0.0045,0.0,0.0161,1.2571
1211,0.0269,-0.0001,0.0789,1.2506
1212,0.0275,-0.0001,0.0802,1.2557
1213,0.0258,0.0004,0.0757,1.2544
1214,0.0254,0.0015,0.0731,1.2609
1215,0.0278,0.0011,0.0789,1.2652
1216,0.0108,0.0005,0.0458,1.2579
1217,0.0023,-0.0013,0.0322,1.2521
1218,0.0123,0.0017,0.0463,1.256
1219,0.0139,0.0002,0.0526,1.2566
1220,-0.0064,0.0017,0.0086,1.2485
1221,0.005,0.0006,0.0339,1.2476
1222,0.0126,-0.0011,0.0524,1.2509
1223,0.0671,0.0004,0.1585,1.2566
1224,0.0469,0.0007,0.1177,1.2736
1225,0.0313,-0.0003,0.0888,1.2756
1226,0.0089,-0.0011,0.0455,1.2757
1227,0.0392,-0.0004,0.1048,1.2744
1228,0.0311,0.0005,0.0866,1.2615
1229,0.0135,0.0005,0.051,1.2568
1230,-0.0045,-0.0018,0.0195,1.2492
1231,0.0126,-0.0004,0.0508,1.2475
1232,0.0129,-0.0004,0.0515,1.2485
1233,0.0622,-0.0015,0.1523,1.2488
1234,0.0414,-0.0011,0.1102,1.2602
1235,0.0441,-0.0008,0.1151,1.2596
1236,0.0108,-0.0004,0.0476,1.2625
1237,0.0352,-0.0001,0.0962,1.275
1238,-0.004,-0.003,0.0237,1.2816
1239,0.0697,-0.0006,0.1661,1.2823
1240,-0.0079,-0.0043,0.0183,1.2718
1241,0.0171,-0.0003,0.0598,1.2492
1242,0.025,-0.0001,0.0754,1.2509
1243,0.0326,-0.0003,0.0909,1.2536
1244,0.015,0.0001,0.0551,1.2677
